gene,phase,r_SciPlex3,p_value,r_mean
CASP8AP2,S,0.13698843520586082,0.0,0.13698843520586082
TYMS,S,0.13520187759870203,0.0,0.13520187759870203
MSH2,S,0.1327401838457984,0.0,0.1327401838457984
GINS2,S,0.1320020033868947,0.0,0.1320020033868947
WDR76,S,0.12874636720341867,0.0,0.12874636720341867
RAD51,S,0.12797326979240056,0.0,0.12797326979240056
PRIM1,S,0.12727381808216665,0.0,0.12727381808216665
GMNN,S,0.12558151721542943,0.0,0.12558151721542943
PCNA,S,0.12556566271957714,0.0,0.12556566271957714
CCNE2,S,0.12247742521092891,0.0,0.12247742521092891
MCM5,S,0.12127336440588597,0.0,0.12127336440588597
UHRF1,S,0.1194426498168322,0.0,0.1194426498168322
RAD51AP1,S,0.1086360376725431,0.0,0.1086360376725431
E2F8,S,0.10183435095919245,0.0,0.10183435095919245
FEN1,S,0.09959965916111094,0.0,0.09959965916111094
RPA2,S,0.09810898596952866,0.0,0.09810898596952866
POLD3,S,0.0963338011555998,0.0,0.0963338011555998
MCM2,S,0.09417682974023889,0.0,0.09417682974023889
CDC6,S,0.09225633184262706,0.0,0.09225633184262706
CHAF1B,S,0.08809326244502093,0.0,0.08809326244502093
SLBP,S,0.0722681825692313,0.0,0.0722681825692313
UBR7,S,0.07111657198086563,0.0,0.07111657198086563
UNG,S,0.06253226665230104,0.0,0.06253226665230104
POLR1B,S,0.049479258915065966,0.0,0.049479258915065966
TIPIN,S,0.04161663758984448,2.5832964983000603e-221,0.04161663758984448
CDCA7,S,0.03916324804374479,3.2830122163083597e-196,0.03916324804374479
MRPL36,S,0.029231243676484706,3.642066568840084e-110,0.029231243676484706
